Dart_omp3,1000000000,2,3,3.141549532,1.942724
Dart_omp3,100000000,2,3,3.141578440,0.210466
Dart_omp3,1000000000,2,3,3.141549532,1.942724
Dart_omp3,5000000000,2,3,3.141602861,9.782778
Dart_omp3,100000000,4,3,3.141492880,0.126737
Dart_omp3,100000000,4,3,3.141492880,0.126737
Dart_omp3,1000000000,4,3,3.141613576,1.366787
Dart_omp3,100000000,4,3,3.141492880,0.126737
Dart_omp3,1000000000,4,3,3.141613576,1.366787
Dart_omp3,5000000000,4,3,3.141615318,6.713693
Dart_omp3,100000000,8,3,3.141798400,0.065714
Dart_omp3,100000000,8,3,3.141798400,0.065714
Dart_omp3,1000000000,8,3,3.141589184,0.773366
Dart_omp3,100000000,8,3,3.141798400,0.065714
Dart_omp3,1000000000,8,3,3.141589184,0.773366
Dart_omp3,5000000000,8,3,3.141632646,3.940691
Dart_omp3,100000000,2,4,3.141591200,0.210766
Dart_omp3,100000000,2,4,3.141591200,0.210766
Dart_omp3,1000000000,2,4,3.141608112,1.944800
Dart_omp3,100000000,2,4,3.141591200,0.210766
Dart_omp3,1000000000,2,4,3.141608112,1.944800
Dart_omp3,5000000000,2,4,3.141601153,9.868129
Dart_omp3,100000000,4,4,3.141253800,0.124098
Dart_omp3,100000000,4,4,3.141253800,0.124098
Dart_omp3,1000000000,4,4,3.141709664,1.380405
Dart_omp3,100000000,4,4,3.141253800,0.124098
Dart_omp3,1000000000,4,4,3.141709664,1.380405
Dart_omp3,5000000000,4,4,3.141622477,6.481766
Dart_omp3,100000000,8,4,3.141464840,0.065492
Dart_omp3,100000000,8,4,3.141464840,0.065492
Dart_omp3,1000000000,8,4,3.141576244,0.772287
Dart_omp3,100000000,8,4,3.141464840,0.065492
Dart_omp3,1000000000,8,4,3.141576244,0.772287
Dart_omp3,5000000000,8,4,3.141609895,3.937658
Dart_omp3,100000000,2,5,3.141223720,0.207422
Dart_omp3,100000000,2,5,3.141223720,0.207422
Dart_omp3,1000000000,2,5,3.141568204,1.937602
Dart_omp3,100000000,2,5,3.141223720,0.207422
Dart_omp3,1000000000,2,5,3.141568204,1.937602
Dart_omp3,5000000000,2,5,3.141617307,9.752541
Dart_omp3,100000000,4,5,3.141844440,0.128440
Dart_omp3,100000000,4,5,3.141844440,0.128440
Dart_omp3,1000000000,4,5,3.141545084,1.335353
Dart_omp3,100000000,4,5,3.141844440,0.128440
Dart_omp3,1000000000,4,5,3.141545084,1.335353
Dart_omp3,5000000000,4,5,3.141612587,6.768500
Dart_omp3,100000000,8,5,3.141644840,0.065772
Dart_omp3,100000000,8,5,3.141644840,0.065772
Dart_omp3,1000000000,8,5,3.141544668,0.774472
Dart_omp3,100000000,8,5,3.141644840,0.065772
Dart_omp3,1000000000,8,5,3.141544668,0.774472
Dart_omp3,5000000000,8,5,3.141601459,3.937894
Dart_omp3,100000000,2,6,3.141500440,0.212227
Dart_omp3,100000000,2,6,3.141500440,0.212227
Dart_omp3,1000000000,2,6,3.141629632,1.938676
Dart_omp3,100000000,2,6,3.141500440,0.212227
Dart_omp3,1000000000,2,6,3.141629632,1.938676
Dart_omp3,5000000000,2,6,3.141579687,9.731386
Dart_omp3,100000000,4,6,3.141385960,0.128410
Dart_omp3,100000000,4,6,3.141385960,0.128410
Dart_omp3,1000000000,4,6,3.141692808,1.362372
Dart_omp3,100000000,4,6,3.141385960,0.128410
Dart_omp3,1000000000,4,6,3.141692808,1.362372
Dart_omp3,5000000000,4,6,3.141567506,6.702580
Dart_omp3,100000000,8,6,3.141555360,0.065598
Dart_omp3,100000000,8,6,3.141555360,0.065598
Dart_omp3,1000000000,8,6,3.141565520,0.773989
Dart_omp3,100000000,8,6,3.141555360,0.065598
Dart_omp3,1000000000,8,6,3.141565520,0.773989
Dart_omp3,5000000000,8,6,3.141594590,3.939063
Dart_omp3,100000000,2,7,3.141597280,0.209771
Dart_omp3,100000000,2,7,3.141597280,0.209771
Dart_omp3,1000000000,2,7,3.141534060,1.938777
Dart_omp3,100000000,2,7,3.141597280,0.209771
Dart_omp3,1000000000,2,7,3.141534060,1.938777
Dart_omp3,5000000000,2,7,3.141586198,9.695842
Dart_omp3,100000000,4,7,3.141450480,0.130071
Dart_omp3,100000000,4,7,3.141450480,0.130071
Dart_omp3,1000000000,4,7,3.141736936,1.364528
Dart_omp3,100000000,4,7,3.141450480,0.130071
Dart_omp3,1000000000,4,7,3.141736936,1.364528
Dart_omp3,5000000000,4,7,3.141568358,6.570235
Dart_omp3,100000000,8,7,3.141544560,0.065431
Dart_omp3,100000000,8,7,3.141544560,0.065431
Dart_omp3,1000000000,8,7,3.141643496,0.775051
Dart_omp3,100000000,8,7,3.141544560,0.065431
Dart_omp3,1000000000,8,7,3.141643496,0.775051
Dart_omp3,5000000000,8,7,3.141569973,3.912325
Dart_omp3,100000000,2,8,3.141922560,0.198412
Dart_omp3,100000000,2,8,3.141922560,0.198412
Dart_omp3,1000000000,2,8,3.141578280,1.973921
Dart_omp3,100000000,2,8,3.141922560,0.198412
Dart_omp3,1000000000,2,8,3.141578280,1.973921
Dart_omp3,5000000000,2,8,3.141622466,9.864159
Dart_omp3,100000000,4,8,3.141661120,0.123979
Dart_omp3,100000000,4,8,3.141661120,0.123979
Dart_omp3,1000000000,4,8,3.141642328,1.362357
Dart_omp3,100000000,4,8,3.141661120,0.123979
Dart_omp3,1000000000,4,8,3.141642328,1.362357
Dart_omp3,5000000000,4,8,3.141556114,6.818973
Dart_omp3,100000000,8,8,3.141376720,0.068377
Dart_omp3,100000000,8,8,3.141376720,0.068377
Dart_omp3,1000000000,8,8,3.141639768,0.770632
Dart_omp3,100000000,8,8,3.141376720,0.068377
Dart_omp3,1000000000,8,8,3.141639768,0.770632
Dart_omp3,5000000000,8,8,3.141563386,3.934313
Dart_omp3,100000000,2,9,3.141459560,0.210493
Dart_omp3,100000000,2,9,3.141459560,0.210493
Dart_omp3,1000000000,2,9,3.141481576,1.958023
Dart_omp3,100000000,2,9,3.141459560,0.210493
Dart_omp3,1000000000,2,9,3.141481576,1.958023
Dart_omp3,5000000000,2,9,3.141569692,9.822431
Dart_omp3,100000000,4,9,3.141431160,0.125460
Dart_omp3,100000000,4,9,3.141431160,0.125460
Dart_omp3,1000000000,4,9,3.141678812,1.384018
Dart_omp3,100000000,4,9,3.141431160,0.125460
Dart_omp3,1000000000,4,9,3.141678812,1.384018
Dart_omp3,5000000000,4,9,3.141594106,6.723221
Dart_omp3,100000000,8,9,3.141814160,0.065690
Dart_omp3,100000000,8,9,3.141814160,0.065690
Dart_omp3,1000000000,8,9,3.141497664,0.773591
Dart_omp3,100000000,8,9,3.141814160,0.065690
Dart_omp3,1000000000,8,9,3.141497664,0.773591
Dart_omp3,5000000000,8,9,3.141600442,3.939238
Dart_omp3,100000000,2,10,3.141589480,0.212832
Dart_omp3,100000000,2,10,3.141589480,0.212832
Dart_omp3,1000000000,2,10,3.141532496,1.951081
Dart_omp3,100000000,2,10,3.141589480,0.212832
Dart_omp3,1000000000,2,10,3.141532496,1.951081
Dart_omp3,5000000000,2,10,3.141584510,9.872588
Dart_omp3,100000000,4,10,3.141290800,0.130467
Dart_omp3,100000000,4,10,3.141290800,0.130467
Dart_omp3,1000000000,4,10,3.141639788,1.356244
Dart_omp3,100000000,4,10,3.141290800,0.130467
Dart_omp3,1000000000,4,10,3.141639788,1.356244
Dart_omp3,5000000000,4,10,3.141609706,6.696028
Dart_omp3,100000000,8,10,3.141531960,0.065759
Dart_omp3,100000000,8,10,3.141531960,0.065759
Dart_omp3,1000000000,8,10,3.141557860,0.773453
Dart_omp3,100000000,8,10,3.141531960,0.065759
Dart_omp3,1000000000,8,10,3.141557860,0.773453
Dart_omp3,5000000000,8,10,3.141599698,3.946471
